Stock Exchange	Stock Ticker	Date Published
NASDAQ	SLNO	August 15, 2025
NASDAQ	TMDX	January 10, 2025
TOKYO	6920	June 5, 2024
NASDAQ	HRMY	March 28, 2023
NASDAQ	TWST	November 15, 2022
NYSE	IONQ	May 3, 2022
NYSE	DNA	October 6, 2021
NASDAQ	BLI	September 15, 2021
NYSE	QS	April 15, 2021
NYSE	NVRO	January 7, 2021
NASDAQ	ALLK	December 18, 2019
NASDAQ	AXGN	December 18, 2018
NASDAQ	FANH	August 27th, 2018
