Firm:,Viceroy,,,,Hindenberg,,,,Spruce Point,,,,Muddy Waters,,,,Scorpion,,,,Blue Orca,,,,Fuzzy Panda,,
,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published,,Stock Exchange,Stock Ticker,Date Published
,NYSE,ABR,5/9/2024,,NASDAQ,HFFG,3/23/2020,,NYSE,AI,02/17/2023,,,,,,,,,,ASX,TFC/QIN,03/22/2017,,,,
,NYSE,ABR,3/26/2024,,OTCMKTS,PREDQ,3/27/2020,,NYSE,PGNY,02/07/2023,,,,,,,,,,HK,1363,11/23/2016,,,,
,NYSE,ABR,3/18/2024,,NASDAQ,WORX,4/17/2020,,NASDAQ,SMCI,01/10/2023,,,,,,,,,,HK,3823,07/28/2016,,,,
,NYSE,ABR,2/21/2024,,TSXV,NUAG,4/20/2020,,TSX,SAP,11/29/2022,,,,,,,,,,HK,2014,02/16/2015,,,,
,NYSE,ABR,1/22/2024,,HKG,1636,5/17/2020,,NASDAQ,WDFC,10/18/2022,,,,,,,,,,NASDAQ,TKMR,11/10/2014,,,,
,NYSE,ABR,12/26/2023,,OTCMKTS,SRNE,5/20/2020,,NASDAQ,MGPI,10/12/2022,,,,,,,,,,HK,67,03/25/2014,,,,
,NYSE,ABR,12/22/2023,,HKG,1636,5/21/2020,,NYSE,BR,09/28/2022,,,,,,,,,,NYSE,AAMC,03/19/2014,,,,
,NYSE,ABR,12/5/2023,,NASDAQ,GNUS,6/5/2020,,NYSE,FIGS,09/07/2022,,,,,,,,,,HK,1259,10/16/2013,,,,
,NYSE,ABR,11/29/2023,,NASDAQ,WINS,6/17/2020,,NYSE,SKX,07/19/2022,,,,,,,,,,NYSE,SFUN,04/16/2013,,,,
,NYSE,ABR,11/16/2023,,NASDAQ,IDEX,6/26/2020,,NYSE,GNRC,06/22/2022,,,,,,,,,,HK,773,01/28/2013,,,,
,NASDAQ,ATNX,11/20/2019,,NASDAQ,JCOM,6/30/2020,,NYSE,AMR,05/17/2022,,,,,,,,,,NASDAQ,CMED,12/06/2011,,,,
,NASDAQ,ATNX,11/13/2019,,TSXV,FD,7/23/2020,,NYSE,SYK,04/06/2022,,,,,,,,,,NASDAQ,LLEN,08/02/2011,,,,
,NASDAQ,ATNX,11/7/2019,,NASDAQ,GRWG,8/21/2020,,NASDAQ,TASK,01/20/2022,,,,,,,,,,NASDAQ,GFRE,04/26/2011,,,,
,NASDAQ,ATNX,11/4/2019,,NASDAQ,NKLA,9/10/2020,,NASDAQ,HSKA,10/25/2021,,,,,,,,,,NYSE,UTA,03/08/2011,,,,
,NASDAQ,ATNX,10/29/2019,,NASDAQ,NKLA,9/15/2020,,NYSE,LSPD,09/29/2021,,,,,,,,,,,,,,,,
,NASDAQ,ATNX,10/28/2019,,NASDAQ,LOOP,10/13/2020,,NYSE,GENI,08/05/2021,,,,,,,,,,,,,,,,
,NASDAQ,ATNX,10/25/2019,,NASDAQ,KNDI,11/30/2020,,NASDAQ,OTLY,07/14/2021,,,,,,,,,,,,,,,,
,NASDAQ,ATNX,10/24/2019,,NASDAQ,LOOP,12/15/2020,,NYSE,DNMR,05/21/2021,,,,,,,,,,,,,,,,
,NASDAQ,ATNX,10/23/2019,,NASDAQ,CLOV,2/4/2021,,NASDAQ,PRCH,04/08/2021,,,,,,,,,,,,,,,,
,NASDAQ,ATNX,10/10/2019,,NASDAQ,CLOV,2/5/2021,,NYSEAMEX,LODE,03/10/2021,,,,,,,,,,,,,,,,
,NASDAQ,CSTE,8/1/2017,,NYSE,ORA,3/1/2021,,NYSE,LDOS,02/16/2021,,,,,,,,,,,,,,,,
,NASDAQ,CSTE,6/14/2017,,NASDAQ,RIDE,3/12/2021,,NASDAQ,MGNI,01/07/2021,,,,,,,,,,,,,,,,
