Stock Exchange	Stock Ticker	Date Published
NASDAQ	SLNO	08/15/2025
NASDAQ	TMDX	01/10/2025
TOKYO	6920	06/05/2024
NASDAQ	HRMY	03/28/2023
NASDAQ	TWST	11/15/2022
NYSE	IONQ	05/03/2022
NYSE	DNA	10/06/2021
NASDAQ	BLI	09/15/2021
NYSE	QS	04/15/2021
NYSE	NVRO	01/07/2021
NASDAQ	ALLK	12/18/2019
NASDAQ	AXGN	12/18/2018
NASDAQ	FANH	08/27/2018
