Exchange,Ticker,Publish_Date,Market_Cap,Publish_Date_Open,Publish_Date_Close,Next_Day_Open,Next_Day_Close,One_Week_Open,One_Week_Close,One_Month_Open,One_Month_Close,Three_Month_Open,Three_Month_Close,Six_Month_Open,Six_Month_Close
TSX,AYA,09/25/2025,1339383924.83,11.31,9.44,9.71,10.69,12.64,12.17,None,None,None,None,None,None
NASDAQ,NUTX,07/22/2025,555567163.03,110.92,100.01,99.83,92.9,90.27,85.41,91.62,96.18,None,None,None,None
NASDAQ,HSAI,03/18/2025,2655187207.03,22.78,20.56,20.16,20.75,18.5,18.39,11.13,10.95,20.55,19.13,29.64,29.8
NYSE,TDOC,02/19/2025,2433030496.62,13.0,13.77,13.57,12.69,11.24,10.99,8.01,8.41,7.31,7.34,7.58,7.49
NASDAQ,BWIN,10/30/2024,3365353619.5,50.39,47.19,46.64,46.26,42.53,44.72,49.03,48.96,41.91,41.38,42.21,42.23
NYSE,SUI,09/25/2024,16028468437.41,129.35,128.07,128.16,126.34,124.29,124.9,130.13,125.59,115.8,117.55,123.85,123.23
NYSE,DAY,04/04/2024,10145595679.3,64.2,64.21,64.21,61.04,62.34,62.77,57.8,58.17,50.89,51.26,61.1,60.8
NASDAQ,FLNC,02/22/2024,1929077889.38,17.08,14.73,16.61,14.41,15.82,15.29,15.7,15.9,19.09,20.04,17.92,17.67
NYSE,FMC,09/07/2023,8572908618.05,73.18,68.63,68.97,68.05,68.66,68.19,57.15,57.64,49.33,50.23,53.87,54.83
NYSE,FOUR,04/19/2023,4211755154.24,67.9,62.59,63.35,65.76,64.03,62.66,65.53,65.23,68.27,68.87,51.12,52.02
NASDAQ,PLL,03/08/2023,1306451306.21,55.0,59.53,59.53,56.71,55.0,53.14,50.8,51.98,61.18,63.65,44.89,46.09
NYSE,STEM,01/11/2023,1523198743.99,168.2,181.6,183.6,182.8,209.6,205.6,189.2,183.8,101.8,104.8,121.0,125.6
NYSE,EVA,10/12/2022,None,54.64,51.23,50.33,52.05,55.24,53.52,58.92,60.4,46.52,46.24,24.68,24.51
NYSE,MNSO,07/26/2022,1699665341.21,6.38,5.59,5.7,5.16,5.15,5.43,5.92,6.32,4.42,4.68,14.12,14.16
NYSE,IIPR,04/14/2022,3454690251.0,129.93,123.28,123.51,118.5,120.25,115.33,100.63,96.75,81.04,82.36,69.31,70.61
NYSE,LICY,03/24/2022,None,66.16,63.44,62.96,61.28,69.2,67.6,51.28,55.36,59.28,59.84,49.6,49.6
AMEX,SLI,11/18/2021,1634390195.84,9.25,8.01,8.6,9.28,9.65,9.94,8.34,8.46,6.69,6.73,5.8,6.09
NASDAQ,HYZN,09/28/2021,None,400.5,331.5,334.41,301.5,306.5,319.5,258.0,272.5,355.5,370.5,317.5,308.0
NASDAQ,SY,05/06/2021,669479235.69,7.45,8.0,8.56,8.06,7.51,7.17,9.05,8.72,6.6,6.37,3.72,3.64
ASX,SEK,10/29/2020,4594162349.64,13.54,12.86,12.86,12.86,13.35,13.32,15.82,15.58,17.09,17.39,18.71,18.77
